bodytype,brand,mileage,color,engine,complectation,tax,transmission,drive,wheel,owners,customs,pts,year,price
Кузовседан,Audi 80 IV (B3),Пробег280 000 км,Цветбелый,Двигатель1.8 л / 90 л.с. / Бензин,,Налог1 080 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска1989,135 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 I (4L) Рестайлинг,Пробег142 000 км,Цветчёрный,Двигатель3.0 л / 245 л.с. / Дизель,Комплектация3 опции,Налог18 375 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2012,1 800 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 II (4M),Пробег120 075 км,Цветкоричневый,Двигатель3.0 л / 333 л.с. / Бензин,КомплектацияSport,Налог49 950 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСДубликат,год выпуска2015,2 999 000 ₽Отличная ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi e-tron 55 I,Пробег7 443 км,Цветсиний,Двигатель408 л.с. / 300 кВт / Электро,Комплектация39 опций,Налог0 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2020,9 099 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi e-tron 55 I,Пробег13 267 км,Цветсиний,Двигатель408 л.с. / 300 кВт / Электро,Комплектация52 опции,Налог0 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2020,8 890 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 III (C6),Пробег290 000 км,Цветчёрный,Двигатель2.4 л / 177 л.с. / Бензин,Комплектация45 опций,Налог7 965 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2005,500 000 ₽Хорошая ценаСмотреть статистику цен
Кузовседан,Audi 80 IV (B3),Пробег300 000 км,Цветкрасный,Двигатель1.9 л / 113 л.с. / Бензин,,Налог3 390 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска1987,70 000 ₽Смотреть статистику цен
Кузовлифтбек,Audi A7 I (4G) Рестайлинг,Пробег173 809 км,Цветчёрный,Двигатель2.8 л / 220 л.с. / Бензин,Комплектация36 опций,Налог14 300 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2014,2 177 000 ₽Отличная ценаот 2 035 000 ₽ со скидками
Кузовседан,Audi A4 V (B9),Пробег58 665 км,Цветсерый,Двигатель2.0 л / 249 л.с. / Бензин,КомплектацияSport,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2016,2 245 000 ₽Хорошая ценаСмотреть статистику цен
Кузовседан,Audi A8 Long III (D4) Рестайлинг,Пробег219 985 км,Цветбелый,Двигатель3.0 л / 310 л.с. / Бензин,Комплектация37 опций,Налог46 500 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2014,2 150 000 ₽Хорошая ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 Sportback 40 TFSI I (F3),Пробег16 884 км,Цветсерый,Двигатель2.0 л / 180 л.с. / Бензин,КомплектацияSport 40 TFSI quattro S tronic,Налог8 820 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2021,4 333 900 ₽Смотреть статистику цен
Кузовлифтбек,Audi A5 I (8T) Рестайлинг,Пробег174 000 км,Цветбелый,Двигатель1.8 л / 170 л.с. / Бензин,Комплектация27 опций,Налог8 330 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 250 000 ₽Смотреть статистику цен
Кузовлифтбек,Audi A7 I (4G),Пробег93 000 км,Цветсерый,Двигатель3.0 л / 310 л.с. / Бензин,Комплектация70 опций,Налог46 500 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2012,1 690 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 I (8U) Рестайлинг,Пробег37 378 км,Цветсерый,Двигатель2.0 л / 184 л.с. / Дизель,,Налог9 200 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2015,2 298 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 IV (C7) Рестайлинг,Пробег133 000 км,Цветсерый,Двигатель1.8 л / 190 л.с. / Бензин,КомплектацияBusiness,Налог9 500 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2016,1 829 000 ₽Хорошая ценаСмотреть статистику цен
Кузовседан,Audi A4 V (B9),Пробег145 157 км,Цветкрасный,Двигатель1.4 л / 150 л.с. / Бензин,Комплектация33 опции,Налог5 250 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2015,1 637 000 ₽Хорошая ценаот 1 307 000 ₽ со скидками
Кузоввнедорожник 5 дв.,Audi Q8 55 TFSI I,Пробег23 300 км,Цветсерый,Двигатель3.0 л / 340 л.с. / Бензин,,Налог51 000 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2018,7 368 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q8 55 TFSI I,Пробег23 300 км,Цветсерый,Двигатель3.0 л / 340 л.с. / Бензин,,Налог51 000 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2018,7 368 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 I (4L) Рестайлинг,Пробег170 000 км,Цветбелый,Двигатель3.0 л / 272 л.с. / Бензин,КомплектацияБазовая,Налог27 744 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 850 000 ₽Хорошая ценаСмотреть статистику цен
Кузовседан,Audi A6 IV (C7),Пробег147 918 км,Цветбелый,Двигатель3.0 л / 300 л.с. / Бензин,Комплектация37 опций,Налог30 000 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2011,1 550 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 IV (C7) Рестайлинг,Пробег128 933 км,Цветчёрный,Двигатель3.0 л / 333 л.с. / Бензин,Комплектация58 опций,Налог49 950 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2016,2 098 000 ₽Смотреть статистику цен
Кузовседан,Audi 80 IV (B3),Пробег300 000 км,Цветкоричневый,Двигатель1.8 л / 90 л.с. / Бензин,,,Коробкамеханическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска1987,
Кузовседан,Audi A4 V (B9),Пробег83 123 км,Цветсиний,Двигатель1.4 л / 150 л.с. / Бензин,,Налог2 250 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2017,2 027 000 ₽Смотреть статистику цен
Кузовседан,Audi A4 IV (B8) Рестайлинг,Пробег163 684 км,Цветсерый,Двигатель1.8 л / 170 л.с. / Бензин,КомплектацияБазовая,Налог8 500 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 085 350 ₽Хорошая ценаСмотреть статистику цен
Кузовседан,Audi A6 IV (C7),Пробег185 367 км,Цветчёрный,Двигатель2.8 л / 204 л.с. / Бензин,КомплектацияБазовая,Налог15 300 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2014,1 440 000 ₽Хорошая ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R),Пробег200 339 км,Цветсерый,Двигатель2.0 л / 211 л.с. / Бензин,,Налог12 660 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2011,1 250 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 III (C6) Рестайлинг,Пробег301 000 км,Цветбежевый,Двигатель2.8 л / 190 л.с. / Бензин,Комплектация55 опций,Налог9 500 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2010,950 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 II (4M),Пробег123 325 км,Цветбелый,Двигатель3.0 л / 249 л.с. / Дизель,Комплектация51 опция,Налог18 675 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2016,3 648 000 ₽Смотреть статистику цен
Кузовседан,Audi A3 III (8V),Пробег118 500 км,Цветсерый,Двигатель1.4 л / 122 л.с. / Бензин,,Налог3 050 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2014,1 144 000 ₽от 1 024 000 ₽ со скидками
Кузовлифтбек,Audi A7 55 TFSI II (4K),Пробег47 839 км,Цветчёрный,Двигатель3.0 л / 340 л.с. / Бензин,Комплектация55 TFSI quattro S tronic,Налог51 000 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2018,4 259 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q8 45 TDI I,Пробег31 692 км,Цветсиний,Двигатель3.0 л / 249 л.с. / Дизель,Комплектация48 опций,Налог18 675 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2019,7 500 000 ₽Хорошая ценаСмотреть статистику цен
Кузовседан,Audi 90 II (B3),Пробег265 000 км,Цветсерый,Двигатель2.2 л / 136 л.с. / Бензин,Комплектация1 опция,Налог3 400 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска1989,127 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q8 45 TDI I,Пробег62 495 км,Цветсиний,Двигатель3.0 л / 249 л.с. / Дизель,Комплектация8 опций,Налог18 675 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2019,6 688 000 ₽Отличная ценаСмотреть статистику цен
Кузовседан,Audi A6 IV (C7),Пробег132 891 км,Цветчёрный,Двигатель2.0 л / 180 л.с. / Бензин,КомплектацияБазовая,Налог9 000 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2012,1 299 000 ₽Хорошая ценаот 1 149 000 ₽ со скидками
Кузовседан,Audi A4 V (B9),Пробег83 000 км,Цветчёрный,Двигатель2.0 л / 190 л.с. / Бензин,Комплектация69 опций,,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2018,1 800 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 I (4L) Рестайлинг,Пробег182 000 км,Цветбелый,Двигатель3.0 л / 238 л.с. / Дизель,,Налог17 850 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2010,1 800 000 ₽Смотреть статистику цен
Кузовкупе,Audi TT II (8J),Пробег124 000 км,Цветчёрный,Двигатель3.2 л / 250 л.с. / Бензин,,Налог12 750 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2006,1 050 000 ₽Смотреть статистику цен
Кузовлифтбек,Audi A7 I (4G),Пробег183 492 км,Цветчёрный,Двигатель2.8 л / 204 л.с. / Бензин,Комплектация48 опций,Налог15 300 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2011,1 279 900 ₽Отличная ценаСмотреть статистику цен
Кузовседан,Audi 80 IV (B3),Пробег230 000 км,Цветсиний,Двигатель1.8 л / 90 л.с. / Бензин,,Налог900 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска1988,74 000 ₽Смотреть статистику цен
Кузовлифтбек,Audi A5 I (8T) Рестайлинг,Пробег180 000 км,Цветбелый,Двигатель1.8 л / 170 л.с. / Бензин,Комплектация18 опций,Налог7 820 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2012,1 200 000 ₽Смотреть статистику цен
Кузовхэтчбек 3 дв.,Audi A3 III (8V),Пробег114 000 км,Цветкрасный,Двигатель1.8 л / 180 л.с. / Бензин,Комплектация7 опций,Налог9 000 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2012,1 350 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 I (8U) Рестайлинг,Пробег98 397 км,Цветчёрный,Двигатель1.4 л / 150 л.с. / Бензин,Комплектация14 опций,Налог5 250 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2017,1 809 000 ₽Отличная ценаСмотреть статистику цен
Кузовседан,Audi A4 IV (B8),Пробег169 000 км,Цветбелый,Двигатель1.8 л / 160 л.с. / Бензин,,Налог8 000 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2009,630 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 I (4L) Рестайлинг,Пробег340 000 км,Цветчёрный,Двигатель3.0 л / 238 л.с. / Дизель,,Налог17 850 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2009,1 450 000 ₽Смотреть статистику цен
Кузовхэтчбек 5 дв.,Audi A3 II (8P) Рестайлинг 1,Пробег172 000 км,Цветжёлтый,Двигатель1.6 л / 102 л.с. / Бензин,Комплектация34 опции,Налог2 550 ₽ / год,Коробкаавтоматическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2006,549 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 8tiptronic I (8R),Пробег183 001 км,Цветчёрный,Двигатель2.0 л / 211 л.с. / Бензин,Комплектация18 опций,Налог15 825 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2012,1 459 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 I (8U) Рестайлинг,Пробег70 872 км,Цветбелый,Двигатель2.0 л / 180 л.с. / Бензин,Комплектация11 опций,Налог9 000 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2015,2 099 000 ₽Смотреть статистику цен
Кузовседан,Audi A3 III (8V) Рестайлинг,Пробег145 610 км,Цветчёрный,Двигатель1.4 л / 150 л.с. / Бензин,Комплектация29 опций,Налог5 250 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2016,1 570 000 ₽Смотреть статистику цен
Кузовхэтчбек 5 дв.,Audi A3 III (8V),Пробег59 580 км,Цветкоричневый,Двигатель1.8 л / 180 л.с. / Бензин,Комплектация9 опций,Налог9 000 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2014,1 540 000 ₽Смотреть статистику цен
Кузовседан,Audi A3 III (8V),Пробег84 730 км,Цветбелый,Двигатель1.4 л / 125 л.с. / Бензин,КомплектацияAmbition,Налог4 375 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2014,1 650 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 II (FY),Пробег61 000 км,Цветчёрный,Двигатель2.0 л / 249 л.с. / Бензин,Комплектация46 опций,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2018,3 600 000 ₽Смотреть статистику цен
Кузовседан,Audi 80 IV (B3),Пробег500 000 км,Цветсиний,Двигатель1.8 л / 75 л.с. / Бензин,Комплектация8 опций,Налог900 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска1989,90 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 II (C5),Пробег300 000 км,Цветсиний,Двигатель2.4 л / 165 л.с. / Бензин,Комплектация41 опция,Налог8 085 ₽ / год,Коробкаавтоматическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска1999,200 000 ₽Отличная ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R),Пробег220 433 км,Цветбелый,Двигатель2.0 л / 211 л.с. / Бензин,Комплектация55 опций,Налог15 825 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2009,935 000 ₽Отличная ценаот 911 625 ₽ со скидками
Кузоввнедорожник 5 дв.,Audi Q7 I (4L) Рестайлинг,Пробег120 000 км,Цветчёрный,Двигатель3.0 л / 238 л.с. / Дизель,,Налог17 850 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2011,1 580 000 ₽Хорошая ценаСмотреть статистику цен
Кузовхэтчбек 5 дв.,Audi A1 I (8X),Пробег109 000 км,Цветбелый,Двигатель1.4 л / 122 л.с. / Бензин,,Налог3 050 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2014,1 075 000 ₽Смотреть статистику цен
Кузовседан,Audi 100 IV (C4),Пробег324 000 км,Цветсерый,Двигатель2.3 л / 133 л.с. / Бензин,Комплектация9 опций,Налог3 990 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска1991,168 000 ₽Смотреть статистику цен
Кузовлифтбек,Audi A7 I (4G),Пробег121 578 км,Цветбелый,Двигатель2.8 л / 204 л.с. / Бензин,КомплектацияБазовая,Налог15 300 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 830 000 ₽Смотреть статистику цен
Кузовседан,Audi A4 III (B7),Пробег121 000 км,Цветсиний,Двигатель2.0 л / 130 л.с. / Бензин,Комплектация44 опции,Налог4 550 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2006,790 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R) Рестайлинг,Пробег89 777 км,Цветкрасный,Двигатель2.0 л / 225 л.с. / Бензин,,Налог14 625 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2015,2 049 000 ₽Хорошая ценаот 1 929 000 ₽ со скидками
Кузовлифтбек,Audi A7 I (4G),Пробег127 000 км,Цветсерый,Двигатель3.0 л / 300 л.с. / Бензин,Комплектация82 опции,Налог45 000 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2011,1 717 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 Sportback 40 TFSI I (F3),Пробег12 289 км,Цветчёрный,Двигатель2.0 л / 180 л.с. / Бензин,Комплектация40 TFSI quattro S tronic,Налог5 886 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2020,3 899 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi SQ7 I (4M) Рестайлинг,Пробег1 700 км,Цветчёрный,Двигатель4.0 л / 422 л.с. / Дизель,Комплектация56 опций,Налог126 600 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2021,13 700 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 II (4M),Пробег75 756 км,Цветсиний,Двигатель3.0 л / 249 л.с. / Дизель,Комплектация53 опции,Налог18 675 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2016,3 498 000 ₽Отличная ценаот 3 198 000 ₽ со скидками
Кузовкупе,Audi A5 I (8T),Пробег175 000 км,Цветсерый,Двигатель3.2 л / 265 л.с. / Бензин,КомплектацияБазовая,Налог26 288 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2007,760 000 ₽Хорошая ценаСмотреть статистику цен
Кузовкупе,Audi A5 I (8T) Рестайлинг,Пробег98 260 км,Цветбелый,Двигатель2.0 л / 225 л.с. / Бензин,Комплектация11 опций,Налог14 625 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2014,1 397 000 ₽Отличная ценаСмотреть статистику цен
Кузовуниверсал 5 дв.,Audi A6 III (C6),Пробег231 000 км,Цветсерый,Двигатель3.1 л / 255 л.с. / Бензин,Комплектация32 опции,Налог38 250 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2008,698 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 II (C5),Пробег270 000 км,Цветсеребристый,Двигатель2.4 л / 165 л.с. / Бензин,Комплектация31 опция,Налог7 425 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска1998,245 000 ₽Хорошая ценаСмотреть статистику цен
Кузовседан,Audi A4 IV (B8) Рестайлинг,Пробег202 600 км,Цветкоричневый,Двигатель1.8 л / 170 л.с. / Бензин,,Налог8 500 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2014,880 000 ₽Смотреть статистику цен
Кузовхэтчбек 5 дв.,Audi A1 I (8X),Пробег126 000 км,Цветфиолетовый,Двигатель1.4 л / 122 л.с. / Бензин,Комплектация42 опции,Налог3 050 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2013,770 000 ₽Хорошая ценаСмотреть статистику цен
Кузовседан,Audi A6 IV (C7) Рестайлинг,Пробег109 640 км,Цветбелый,Двигатель3.0 л / 333 л.с. / Бензин,Комплектация18 опций,Налог49 950 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2016,2 147 000 ₽Хорошая ценаСмотреть статистику цен
Кузовседан,Audi A6 IV (C7) Рестайлинг,Пробег76 300 км,Цветсерый,Двигатель1.8 л / 190 л.с. / Бензин,КомплектацияBusiness,Налог9 500 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2015,2 349 000 ₽Смотреть статистику цен
Кузовседан,Audi A4 IV (B8),Пробег282 000 км,Цветсеребристый,Двигатель1.8 л / 160 л.с. / Бензин,Комплектация23 опции,Налог8 000 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2010,760 000 ₽Смотреть статистику цен
Кузовседан,Audi 100 III (C3) Рестайлинг,Пробег392 000 км,Цветбелый,Двигатель1.8 л / 90 л.с. / Бензин,,Налог900 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска1990,100 000 ₽Смотреть статистику цен
Кузовхэтчбек 3 дв.,Audi A3 II (8P) Рестайлинг 1,Пробег54 436 км,Цветсеребристый,Двигатель1.6 л / 102 л.с. / Бензин,Комплектация29 опций,Налог3 468 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2006,990 000 ₽Смотреть статистику цен
Кузовседан,Audi 100 IV (C4),Пробег404 000 км,Цветсерый,Двигатель2.3 л / 133 л.с. / Бензин,Комплектация8 опций,Налог4 655 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска1991,94 700 ₽Смотреть статистику цен
Кузовседан,Audi 100 IV (C4),Пробег205 323 км,Цветсеребристый,Двигатель2.6 л / 150 л.с. / Бензин,Комплектация1 опция,Налог2 100 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска1991,100 000 ₽Смотреть статистику цен
Кузовседан,Audi A8 Long I (D2) Рестайлинг,Пробег101 000 км,Цветчёрный,Двигатель6.0 л / 420 л.с. / Бензин,Комплектация25 опций,Налог63 000 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2001,2 000 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R),Пробег188 000 км,Цветбелый,Двигатель2.0 л / 211 л.с. / Бензин,Комплектация30 опций,Налог13 715 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2009,900 000 ₽Смотреть статистику цен
